,Question,Answer
179152,"
   بيت شعر ب كلمه مطر
  ","

   انت كألوان السماء اذا انتهى وقع المطر
   
   انت لي المطر وادرك كم تعين ما هو المطر ❤
  
"
179153,"
   هسا لعبتكم صبايا
غنولنا عن الشوكولاتة
اشوف الحب الحقيقي 😈
  ","

   انا قولت واحد اتنين تلاتة
   
   حبك مولعني زي الشوكولاتة
   
   والعمر كلو هنعيشو كلو
   
   بحب وغيرة وقلاطة 😂
  
"
179154,"
   غنولنا اغنبه باكثر اشي بتكرهو وبستفزك
  ","

   اكتر ايشي بستفزني لما احكي مع حد وما ينتبهلي
   
   انا بتكلم جد
   
   واللهي بجد
   
   رد عليا ابوس ايدك
   
   انا زهئت وحياة سيدك
   
   جربها بالمصري بتزبط اغنية 😂
  
"
179155,"
   مواهبكم فتاكه 
طيب هاتولنا اغنيه ب كلمه زنخ
  ","

   بعتلك ما رديت
   
   غازلتك ما اهتميت
   
   يا زنخ وين لقيت
   
   احسن مني وحبيت
   
   لحنها زيمبدك 😂
  
"
179156,"
   هه احكي مش عارفه تالفي مش بايخات
  ","

   فل ما بدي منك شي
   
   الكرامة اغلى شي 😢
   
   مووت واتركني لحالي
   
   ليهدى بالي
   
   وربي عيالي 😂
  
"
179157,"
   ههههه حلو حلو شلطح هيو بفرح وقاعد بتبلطح وبالبحر بسبح 😆

اغنيه بعنوان الكرامه
  ","

   هههههه غير الكلمات بايخات 😂
  
"
179158,"
   حاليا صفيتو 4
اغنيه ب كلمه شلطح
ورجونا المواهب 😀
  ","

   انا بحبك يا مفلطح
   
   وهطلع عالسطح اشلطح
   
   ابص عليك من ورا السور
   
   اغنيلك واطفي النور😂
  
"
179159,"
   الله يخليلكم عيلتكم جميعا يا رب
نكمل 
بيت شعر عن حالتك النفسية هسا 
معكم دقيقتين
  ","

   ظمآن انا و بحبك أرتوي وانت
   
   تبخل بكأس علي يا هاجري
   
   مشتاق💔
  
"
179160,"
   اغنيه بحبكم لعيلتكم 
معكم دقيقتين
  ","

   عزا الهبل هيك عالملأ😂
   
   خيي يا نور عيوني بخبيك والله بجفوني
   
   انت الحب وكل القلب
   
   خيتي يا ضي العين يحميكي ربي من العين
   
   اهلي وناسي وكل احبابي انتو عيوني التنتين
   
   خدلك😂😂
  
"
179161,"
   قناعة عندك مستحيل تتغير
  ","

   اللي بروح ما برجع
   
   وان رجع مستحيل يكون نفسو
   
   في اشيا كتير بتنكسر ما بتتصلح
  
"
179162,"
   الفي اغنيه مشقلبه كلماتها يعني ملهاش معنى
  ","

   شفتك امبارح
   
   بالليل عطلوع الشمس
   
   وشربت المي ورويت شوي
   
   وابصر ايش😅
  
"
179163,"
   حاليا صفيتو 5
اغنيه ع الشقلوب من تأليفكم 
معكم 3 دقايق
  ","

   مش فاهمة😕
  
"
179164,"
   الكلمه الخامسه 
دراسه ب ببيت شعر مسبات 😆 
معكم دقيقه  للابداع
  ","

   تركت الحب والملذات للدراسة ولم انل
   
   فلعنة الله عليها وعلى امها وابيها
   
   😂😂😂
  
"
179165,"
   الكلمه الرابعه 
قمر ببيت شعر
دقيقتين
  ","

   و استقبلت قمر السماء بوجهها     فخجل القمر من نفسه وتسترا 😍😁
  
"
179166,"
   الكلمه الثالثه
ساعه اغنيه 
معكم دقيقتين 
انطلقو
  ","

   جيت بوقتا للاقيك
   
   نطرت ساعة لحاكيك
   
   تعا عم فكر فيك
   
   قلبي بيناديك😂
   
   يرب محدا يقرأ👐😂
  
"
179167,"
   مسا الخير لمن رد السلام
  ","

   مسا النور
  
"
179168,"
   وقد يأتيك الابتلاء على هيئة صديق مفكر صوتو حلو 
منشن وافضح/يها 
😂😂😂
  ","

   امنشن حالي 😂😂مجننة مخاليق الله بصوتي😂
  
"
179169,"
   متى تخجل من نفسك ؟ كن صريح مع نفسك ...
  ","

   لما اعطي الناس على حساب نفسي💔
  
"
179170,"
   تم ابعاد 2
لازم تاليفكم 
المره الاولى سماح هسا لا
الكلمه الثانيه 
اسمك ببيت شعر 
معكم دقيقتين
  ","

   الا حبذا اهلا الملا غير انه
   
   اذا ذكرت مي فيا حبذا هي 😅
  
"
179171,"
   بلشنا 
كلمه بدر باغنيه
معكم 2 دقيقه 
Go😈
  ","

   طلت متل البدر
   
   يسلملي هالشعر
   
   بتقهر والله قهر 😂😂😂
  
"
179172,"
   رح ابلش كمان دقيقتين  
خليكم مستعدين لانو معاكم وقت واذا بخلص الوقت قبل ما تالف رح اسحبو من اللعبه تلقائيا 
مستعدين؟
  ","

   اوووك ريدي
  
"
179173,"
   خلص رح اضيفك وهيك انتو صرتو 9
اللعبه عباره انا بعطيكم كلمه وانتو بتالفوها باغنيه او بيت شعر 
قاعدتها انو معكم وقت معين لازم تالفو في اذا خلص الوقت وانتو مش مالفين رح تنسحبو تلقائيا 
اوك
  ","

   ماشي
  
"
179174,"
   هه اتاخرتي للاسف اخترنا 8
  ","

   بكرهكم 😛
  
"
179175,"
   في عندي لعبه  
رح تتكون من 6 اول 6برفعو ايدهم رح اختارهم 
مين الو مصلحه؟
  ","
  ✋
  "
179176,"
   ابعدني يآ الله ، عن گل شيء يغيرني '
-ويخطُف ضحگتي ، 
وفرحتي ، ويؤذي قلبي💔 '! 
-واملأني صبراً ،ورآحة ، تغنيني عن گل شيء..


¦ ℡ 🌸💫
جمعه مبارکه
  ","

   آمين ...عالجميع 🌸💙
  
"
179177,"
   يهوّن الشيطان للانسان المعصية حتى يرتكبها .. 
ثم يهوّلها في نظره حتى ييأس من رحمة الله ..

ولو علم الانسان ان اليأس من رحمة الله أخطر من المعصية نفسها .. ما يئس 

الحمدلله دائماً وابداً 🌷
  ","

   الحمدلله 🌸💙
  
"
179178,"
   تآابعتكك 🌸🎶
  ","

   بادلتك😘
  
"
179179,"
   اَللَّهُمَّ لآ تَجْعَلُ فِي قَلْبِي سِوَاك َ،. وَلَا تَعَلُّقَ نَفْسِيَّ إِلَّا بِكَ،. وَاِجْعَلْنِي أَخْشَاكَ كأني أَرَاكَ،. غَنِيًّا بِكَ عَمَّنْ سِوَاكَ .جمعة مباركة أحبتي .❤.
  ","

   آمين...علينا وعليكي❤
  
"
179180,"
   مي  جمعه مباركه خيتي❤️✌️️
 ووانشالله يومك سعيد 
م تنسي سوره الكهف❤️ وادعيلي❤️
  ","

   علينا وعليك🌸
   
   انشالله ولا يهمك 💙
   
   الله  يسعدك
  
"
179181,"
   انتي حماس
  ","

   لا ليش
  
"
179182,"
   موقف غيرك للاحسن؟......😶
  ","

   كلو للأسوأ واللهي 😅
  
"
179183,"
   متابعك من زمان هسه راح اشيل الفلوو .. 😕😕😕
  ","

   لا ول
   
   منور 😊💙
   
   باك
  
"
179184,"
   بتعتبر حالك انسان تميل للسلبية ولا الايجابية؟ 😮
  ","

   بوزيتيف
  
"
179185,"
   فلووو
  ","

   اليووم الجمعة حرام الكزب 🌚
  
"
179186,"
   الألماني بصنع السياره ،، الخليجي بركبها ،، واحنا #الفلسطينية بنشوفها وبنصلي على النبي !!
  ","

   صلاة النبي😂
  
"
179187,"
   سُبحان مَن يراك تَميل ؛ ف يبتليك لتَستقيم🌿💛
جمعَة مباآرگة🌸❤
  ","

   علينا وعليكي 😘
  
"
179188,"
   الزواج بكلف الشب تقريباً "" 20.000 "" دينار 
- وبكلف البنت ركعتين استخارة 

#تقبل_الله 😂
  ","

   منا ومنك
  
"
179189,"
   طيب كولي انتي اول. لانك انتي الي  بلشتي تغلطة
  ","
  ....
  "
179190,"
   إقتَبـس مآ رآقَ لَگ يـآ شَبيهه القَـمر ~ ♡
  ","

   ♡ وَأخـآف أن يَحِل مَگانـي شَخصٌ آخَر گثيـرُ الحَـظِ وَقليلُ الخَجَـل يُغآزلُ جَمـآلُ عيْنـآگ وَأنآ المَفتـونَ بِهـآ ♡
  
"
179191,"
   كتير هيك😅😂
  ","

   ليش وال 😁
  
"
179192,"
   ما ازنخك. انتي
  ","

   كل هوا انت
  
"
179193,"
   مساحةة""ة🌸🍁🌺🍃
  ","

   الليلة الليلة 😢😢
  
"
179194,"
   جماعي~
جاي عبالي سمه بدن اعطونا اشي يزعلنا 😑😰
  ","
  😁😁
  "
179195,"
   حابب شوفك وكل ظروفك مآ تعنيني
  ","

   اجيبلك خبزة تحلف عليها 😑
  
"
179196,"
   جمعةة""ة مباركةة""ة🌹🌺🍃
يسعدد'د قلبكك'ك🌸🌷🍀🍁
  ","

   جمعتك أبرك  🌹🍃🌸
  
"
179197,"
   دع قلمك يبدع بحرية !!.. مساحة للتعبيرات الجميلة //~
  ","
  ""من يومٍ إلى يوم أشعر بأن نفوري من البشر يزداد و هذا ما يسرّني""
  "
179198,"
   كم تعطي صفحتي من 10 ؟؟؟
  ","
  10 😊
  "
179199,"
   ما بكم اشعر بالملل ؟ ارسلو لي اسئلتكم !! 

اصبحتم مملين 😓
  ","

   يا ويلي 😯
  
"
179200,"
   البعد فِي بعض الأوُقات ، يَسمح لنَا ب العيِش من جديد 😌😊
  ","

   نعم صحيح
  
"
179201,"
   الابتسامة تجارة رابحة ولا تحتاج لرأسمال ~..🌸
آنْتْ جمْيُلُ وُثُغٍرڪ آلُبُآسمْ آجمْلُ ~,،💛
  ","
  😊😊😊
  "
179202,"
   أقـتـپـس مـن صـڤـحـتـي مآآ تـشـأأ 💞💐
  ","

   دآئمآاً هـنآگ لحـظہ چـميـلہ ""
   
   وحـپ چـميِــل ولقَـآء قصيِــر ""
   
   يــپــقــىٰ ڤــي الــقــلــپ ♡
   
   ولـآيمَـسَّح مـن الـذآگــرة ♡̷
   
   "" پـعٌض التـڤـآصِيـل حيَــآة ""ءِ,,
  
"
179203,"
   الَلَهّمً فُيَ يَوٌمً آلَجّمًعٌةّ أنِفُُثً فُيَ صّدٍوٌرِنِآ آلَإنِشُرآحً ، وٌ آغُمًرنِآ بًلَحًظُآتٌ تٌمًلَؤهّآ آلَأفُرآحً ، وٌ أنِر دٍروٌبًنِآ بًهّدٍآيَتٌکْ ، وٌ آجّعٌلَنِآ عٌلَى سِعٌآدٍةّ دٍآئمًہ بًنِعٌمًکْ..♡
  ","

   اللهم آميين ❤
  
"
179204,"
   جمعه مباركه 🌚🌹
  ","

   علينا وعليك 🍃🌹
  
"
179205,"
   جمعة مباركةةة علينا وعليك☺️🌸
  ","

   جمعة مباركة 🌸
  
"
179206,"
   follow 🌷
  ","

   باك
  
"
179207,"
   جمعة مباركة أصدقائي #مساحة 😁😌
  ","

   جمعة مباركة
  
"
179208,"
   لا يؤخر اللّه أمراً إلا لخير ، ولا يحرمْك أمراً إلا لخير ، ولا ينزل عليك بلاءً إلا لخير ، فلا تحزن , فـ ربّ الخير لا يأتي إلا بخير . 

جمعتكم مباركة يا مرتبين 😀
  ","

   ونعم بالله
   
   جمعتك أبرك 🌸
  
"
179209,"
   بدكو نضعف في حياه ما في اشي بيبسط فيها غير الأكل ههههه , جمعة مباركة
  ","

   علينا وعليك 😁
  
"
179210,"
   صباح الخير 
وجمعه مباركه علي الجميع يا رب
  ","

   صباح النوور علينا وعليك 😁
  
"
179211,"
   وما الجمعه إلا عيدٌ لقلبك:⛅💗.
- رتل آيات الكهف 📖 💕.
- صَل و سلّم على النبي مُحمد☁.
- ابعث دعواتك إلى ربك ✨.
#جمعتك_مباركة_باذن_الله
  ","

   علينا وعليك🌸
  
"
179212,"
   بلشنا
لو انتي بموقف معاكي خيار انك تنقذي واخد من هذول من الموت
اختك/اقرب صديقه لالك
  ","

   اختي
  
"
179213,"
   تمام حاليا انتو بنفس القوة لهيك رح ابلش بسؤال خيار واحد فقط يعني رح اعطيكم خيارات ولازم تختار واحد بس الي رح يختار اكثر او ما يعرف رح ينسحب تلقائيا اوك
  ","

   ماشي بس بسرعة 😴😴
  
"
179214,"
   الجو هاد لا حد عارف صيف ولا شتا 
بتكون متغطي وانت مشغل المروحة 😂😂
اضحك ل نخسر بعض 👌👌
  ","

   هههههه متل وضعي
  
"
179215,"
   تمام الي بلبسو حجاب 
لو تطلعي ع مكان واهلك بعاد عنك ومستحيل يعرفو شي عنك وكنتي بمكان بطعم او بالشارع والشال انمزع او انكب علي شي بتشلحي وبتضلي بدون شال
الي ما بلسو لو حبيبك خيرك بين انك تلبسي شال او تنفصلو ايش بتختاري
  ","

   لا ما بشلحو بدبر حالي
  
"
179216,"
   بتلبسو حجاب صح؟
  ","

   صح
  
"
179217,"
   لو انتي هسا بحاله حب قويه واتقدملك وابوكي رفض  وحبيبك عرض عليكي تهربي معو وهوا بالفعل رايدك بتوافقي ولا لا
  ","

   لا طبعا 😁
  
"
179218,"
   هل تؤمن بالنهايات السعيدة؟
  ","

   أد ما حلو بالاول ...نهاية سعيدة ممنوعة✌
  
"
179219,"
   السؤال
مين الصاحبه الي بشلتكم او قريبه عليكي بتتوقعي انها تخونك او تسببلك اذى او بتحسي انها ما بتحبك
( الاسم طبعا)
  ","

   تسنيم
   
   بسميها تسميم لانها حية🐍 وكلبة 😂
  
"
179220,"
   منت نفسك في 😛😜
  ","

   مقصديش عنو
   
   وبعدين ملكش دخل 😊
  
"
179221,"
   ههه انا بجبلك يا من وين شو بدرس
  ","

   شو بدي فيه 😳
  
"
179222,"
   ع فكره انتو بنات قويات وعاجبني قوه شخصيتكن
ههه بس بتمنى تصمدو
  ","

   يلا بس بدي انام 😭😭
  
"
179223,"
   ههه عشان موشاشا 😂😂
  ","

   اها
  
"
179224,"
   ههههه احنا مالناش غير عالدراسة والطش فمتأسفين 😛😜
  ","

   ها؟
  
"
179225,"
   بقربلك ولا الزوج المستقبلي 😅😅
  ","

   حدا مشهور 😑
  
"
179226,"
   كل شخص فينا الا ما يكون اعجبو شخص او لفت انتباهو او شاف شي في حلو احنا بنحبو يكون بشريك حياتنا صح؟
  ","

   صح
  
"
179227,"
   ههه مين موشاشا 😅😅
  ","

   الحب الحب
  
"
179228,"
   تم انسحاب بنت 
صفيتو 3
طبعا كل بنت اتعرضت لحاله تزبيط من شب صح؟
  ","

   ههههه هيك يعني
   
   بتصير مش بشكل جدي
  
"
179229,"
   السؤال 
لو  انتي بمكان ثاني  ويرجع الزمن ويسالوكي انو بتنصحي الشخص الي هوا ابوكي يتجوز امك حاليا
  ","

   لا بنشوف تجارب تانية
  
"
179230,"
   مساحة حلوة😍
  ","

   ازكى حدا بالدنيا
  
"
179231,"
   ههه حاليا انتو قوين كثير ورح تخلوني اضطر ازود الجرعات خليكم مستعدين جاي السخن 😈😈
  ","

   بالانتظار 😂
  
"
179232,"
   جمعة مبااركة 🌷🌷
  ","

   علينا وعليك
  
"
179233,"
   احكولنا اسمها واذا هي م موجوده هون اعملولها تاج
  ","

   هاي الحيوانة
   
    @saranice77920
   
   حضها بيفلق الصخر
  
"
179234,"
   حلو حاليا صفيتو 7 وانسحبو 6
هسا المنافسه رح تكون اقوى بينكم ال7  مستعدين
  ","

   اوووك
  
"
179235,"
   الانسان له وجهان وجه بريء ووجه حقود , سؤالي لك كم عدد الاوجه لديك؟
  ","
  3 👌
  "
179236,"
   سمعت احد يقول الله يجيب الزين   ها أنا جيت وش عندكم بالله ؟!
  ","

   شنو هاذا يا
  
"
179237,"
   جمعة مباركة 😊.....
مساحه ✨ 😜
  ","

   علينا وعليك
  
"
179238,"
   جمعة مباركةة ❤
لا تنسوا سورة الكهف 🌚
  ","

   علينا وعليك
  
"
179239,"
   احكي اسم شخص انت بتكرهو او عمل معك موقف انت ضايقك كثير
  ","

   كرمل عطاطرة 😑👌تف تفو
  
"
179240,"
   لحد هسا الكل ماشي تمام وما حد انسحب 
لهيك الاسئله رح تشتد اكثر علشان يفوز واحد بالنهايه  اوك
  ","

   اوك
  
"
179241,"
   مساحة 😊
  ","

   رويدك ردي ردودا وردية فتوردي وراودي وريدي بروية 🌸🌸
  
"
179242,"
   followed  :)
  ","
  Back 😊
  "
179243,"
   Follow🌹
  ","

   باك
  
"
179244,"
   السؤال الرابع
لو ابوك وامك اتزاعلو وصار لازم توقف بصف واحد منهم مين رح تختار
  ","

   ماما
  
"
179245,"
   السؤال الثالث 
عمرك حكيت سر شخص امنك علي
  ","

   ااه 😊
  
"
179246,"
   السؤال الثاني
عمرك وقعت بحاله حب
  ","

   اااه 😁
  
"
179247,"
   بلشنا السؤال الاول 
لو  صديق احتاج كليه وانت يتقدر تتبرعلو 
بتتبرعلو ولا لا
  ","

   بتبرع اكيد
  
"
179248,"
   3 دقايق ورح نبدأ اللعبه
اللعبه عباره عن جواب بجرأه بسالك وبعطيك خيارين ولازم تختار واحد منهم 
ونشوف  مين رح يصمد للاخر ويوخد لقب ابو قلب جريئ😀
خليكم معنا للنهايه
  ","
  Ok
  "
179249,"
   مين حابب يلعب 
الي حابب يرفع ايدو اشوف
  ","
  ✋✋✋
  "
179250,"
   جماعي 😅 بس من القلب ❤🙈
  ","

   هلا وغلا
   
   زهرتي الفواحة 😜
  
"
179251,"
   جميلتي ❤ كيفك 😅؟
  ","

   هلا هلا
   
   جماعي اه 😆
  
"
179252,"
   القرع لما استوى قال للخيار يا لوبيااا 😂😂😂 
وتش مسرحية از ذس مقطع 😅
  ","

   أي دونت نو 😁
  
"
179253,"
   pic
  ","

   معقوووول 🙈
  
"
179254,"
   اسأليني
  ","

   ايش وضعك؟
  
"
179255,"
   جماعي~~
لو حد انت بتكرهو انقذك من الموت  شو رح تكون رده فعلك
  ","

   ولا ايشي اي حد مكانو كا حيعمل هيك 😂
  
"
179256,"
   كل النهايات حزينة الا نهاية الدوام , مسائكو
  ","

   مسا الفل
   
   وانا خلصت 💃
  
"
179257,"
   صباح الخير لمن احبني
  ","
  Sba7 lnoor
  "
179258,"
   أُمُنية '🎤💕🌿
 أن يُبحر الحزن بعيداً عنا ،
أن تُزرع الورد وَيعمُ السلام بالقُرب منا
  ","
  ❤🌚❤
  "
179259,"
   صباح التفاؤل  والحب
صباحكم خالي من ثقاله دم بعض الاشخاص 
صباحكم مليئ بالضحك والهبل 
صباح الخير للجميع☺☺
  ","

   صباح الفل
  
"
179260,"
   تتوقعون زوجتي المستقبلية محظوظة 🆚 امها داعية عليها 🙏😂؟
  ","

   داعية عليها بليلة القدر
  
"
179261,"
   في مجتمعناا يرون أن إنجاب ...
( الذكر .. أمل ) .. ( والأنثى .. خيبة ) ... 
رغم أن حلم كل رجل أنثى ... وخيبة كل أنثى رجل ...!!!
  ","

   حيوانين
  
"
179262,"
   دعوة صباحيه : 
مُد أرواحنا يالله بسبل الفرح وبغيمات
الرضا بحلو الحظ و تباشير الحياة .. !*
صباح الخير ..💛
  ","

   آمين
   
   صباح النور  ❤🌚
  
"
179263,"
   لأحدهم..❤
  ","

   والله ما ضل حد
  
"
179264,"
   Like = short tbh ???
  ","

   ل اللي بعرفهم بس
  
"
179265,"
   😂😂😁😄
  ","
  ؟؟
  "
179266,"
   نسبة شحن تلفونك = نسبة حبك للاكل 🐸
انا 66% يعني ماشي حالي 😂😂😂
  ","
  63
  
  كزب المفروض فل 😂
  "
179267,"
   عمرو حدا حطلي لايكات وما رديتهم ! 
لعاد ليش انتو بخيلين هيك
  ","

   هيكا👌
  
"
179268,"
   اوه ماي الله هههههههههه
  ","
  😛
  "
179269,"
   مين باع احدى كليتيه واشترى iphone7؟ 😂😂😂
  ","

   مالو الجي 5 منيح 😂 رخيص😂
  
"
179270,"
   مساحه فشه غل😐
  ","

   عيناك لي ومن ابتغى فيهما حبا قاتلناه....
   
   حتى تعود املاكنا حرة 💪
  
"
179271,"
   حصتي يسعدك 😍😍
  ","
  😘😘😘😘
  "
179272,"
   يا مَن تُحِبُّ مُحمَّداً أعليهِ تبخلُ بالصلاة ؟ مقياس حُبك ذِكرَهُ حتى تفيضَ بهِ الشِفاه يا ربِّ صلِِّ على الذي  ردَّ الحياةَ إلى الحياة 😊❤❤
  ","
  💙🌸
  "
179273,"
   الطالب أول ما يدخل قاعة اﻻختبار
 يجلس نص ساعة يدعي ويستغفر 
بعدين يطلع البراشيم ويحل ☻ 
 حتى ﺂلشيطان ينصدم 🐸😂
  ","

   وانا كمان
  
"
179274,"

    @dojeha
   
   ممكن متابعة لهالبنت 😍😍
  ","

   بتؤمري
  
"
179275,"
   حساب جديد وتابعناكم بصوره عشوائيه
ردو المتابعه ورح تتسلو ☺
  ","

   باك
  
"
179276,"
   لا مش عادي ما بوجع اللي بحبهم
  ","
  💔💔💔
  "
179277,"
   بتراقب حدا ع الاسك؟ 😤
  ","

   عامليتو مشان راقب اصلا✌
  
"
179278,"
   الله يسعدك
  ","
  😊
  "
179279,"
   شكلك بعدك معصبة مني
  ","

   نو كومنت
  
"
179280,"
   كيفك يا عصبية يا زعلانة
  ","
  😒
  "
179281,"
   انتي هون
  ","

   اه
  
"
179282,"
   لا ما بقدر .. بعدين اللي جواه بيتوجعو 😵
  ","

   عادي😅
  
"
179283,"
   طيب ايش معناها هههههه
اولالالااه
  ","

   يعني اوه ماي الله 😂
  
"
179284,"
   هاي الورقه والقلم هاتي اشوف
  ","

   امسك هاد 🔨 و اكسر ❤
   
   وقتها بتتعلم ما تشتاق 💔
  
"
179285,"
   اولالالااه ههههههههه
  ","
  😛😛😛
  "
179286,"
   ء don t love too much .
.      لإتحب كثيراً ..❤ 
ء don't trust too much .
.       لإتثق كثيراً ..💛 
ء don't hope too much .
.      لإتتأمل كثيراً .. 💚
ء will hurt you so much .
.      سيؤذيك كثيرآ
  ","
  💔💔💔💔
  "
179287,"
   ماذا تفعلون يا قوم
  ","

   نعمل😦😦
  
"
179288,"
   كيف انتم اصدقائي ؟؟
اشتقت لكم .. فعلموني ان لا اشتاق 😎😎
  ","

   هات قلم وورقة
  
"
179289,"
   فعُد بي اليهَا حميماً مشوقاً وزدنيْ غراماً بها يا قدرُ 💙
  ","

   اولالالاه
   
   آميين💙🌸
  
"
179290,"
   تابعتك
  ","

   بادلتك
  
"
179291,"
   #ربيّ اجعِل لنا راحهہً ،    
          تسِع الكوًن بمًا فيهہّ|💭.

                        صبااح الخير 💕🌹
  ","

   مسا الفل
  
"
179292,"
   الوقت 😍 : وعبارة حلوة ❤🌸 : 
.
.
.
  ","
  2:35
  "
179293,"
   الإسَِتغَفار مأوَى الَذاكِرَين ، ﻓ كُلما زَاد الإسِتغَفار  نَمت سعادتُنا وتَحَقَقت أمَانِيَنا ..~🌸

أسَتغَفر الله العَظِيم ..💛 !*
  ","

   استغفر الله العظيم  واتوب اليه💙🌸
  
"
179294,"
   إلى كل عشاق النور ..
إلى كل الذين يستقبلون أيامهم بابتسامة..
إلى كل الذين ينهضون صباحاً للقيام برسالتهم في الحياة ...
إلى كل الذين يسعون بإيجابية ..
إلى كل الذين يحبون البدايات ..
يكفي لكي يكون الصباح جميلاً ، أن تدرك أنه كذلك 🌸🌸

صباحكم فله ❤
  ","

   يسعد صباحك
  
"
179295,"
   صوره من زووقكم ..
#اتحفووني،
  ","

   ايمكنني القول بأنك خيمة واني ابحث عن وطن؟؟
  
"
179296,"
   #الجسد هَنا والقلبَ في مكانٍ مَا..💔
  ","

   وتينك طويل 👌
  
"
179297,"
   ههههه لي هزمتي وبعتيلي عالفيس مش ح رد
  ","

   تقلة دم مش ناقصة
   
   يلا غبر/ي بلوك
  
"
179298,"
   ولا انا ص)(😛😜😍
  ","

   ها ؟
   
   ولا حد
  
"
179299,"
   اول حرف باسمو 😅😅
  ","

   ما ناقصني سخافة😒
  
"
179300,"
   هههه اعترفي 😛😜
  ","

   و لا حد لا بنات ولا شباب 😊
  
"
179301,"
   حد تعرفتي عليه عالاسك وحكيتو معو عالفيس
  ","

   اوبااا
  
"
179302,"
   اه جماعي
  ","

   آي نووو😊
  
"
179303,"
   زمآآن مآآ سألتكك كيفكك
  ","

   جماعي اه 😁😛
   
   الحمدلله💙🌸
  
"
179304,"
   شو الاشي الي يمشي على #رجليه

وبس يتعب يمشي على #ايديه

.??

#عمر_العبدﻻت_وهو_رايح_عالسلط

هههههههههه😂😂😂👏👏

#على_طريق_السلط

هههههههههههه حلوه
ضع نهفاتك هون👇👇
  ","

   على طريق السلط ياما مشينا وان تعبت الرجلين نمشي عايدينا💃
  
"
179305,"
   لگل حدا كنت سبب زعلو ، او أزيتو بحياتو بيوم من الأيام ... 
اليوم ربگ انتقملگ مني 😊
اليوم ربي حرمني من أكتر شي غالي علي بهالدنيا 😊
  ","

   مازا حصل 💔😔
  
"
179306,"
   ليه معطلتيهوش ؟
  ","

   مستقلع/ة مني؟
  
"
179307,"
   في ححآال إنكك تستطيع قول شيء يمنحني شُعور جيّد فـلآ تتردد 🗯 ❤ الكيبورد أمآامكك シ❤
  ","

   شوف هاد عمرو 15 سنة 😂😂😂😂😂
   
   شكلها حبيبتو بتاكل بوزة بالشارع 😂
  
"
179308,"
   نعم صحيح 🖐🖐🖐😃
  ","
  👌👌👌✌
  "
179309,"
   why no 😏😏😏😶
  ","

   لكل قاعدة شواذ 👧
  
"
179310,"
   عمري 19 ولحد الأن ما حكيت مع بنت وما عندي أي علاقات 😳 ، 
برآيكم 1- تربية 😊 2- خجل 🙊 3- كذب 😂
  ","

   شنو احكيلك شنو 😣
  
"
179311,"
   هل تؤمن بأن لكل شخص في هذه الأرض شخص مخلوق من أجله؟
  ","

   لا
  
"
179312,"
   خذاك الوقت منّي يا سرور الوقت ،
و خذاني فكري المجنون و عنادي .
ضع هنا ما شئت 👇
  ","
  -
  
  والله ما النا عمرين حافظي على صلاتك ولا تدايقي حالك  وضلي اضحكي ولا تلبسي رموش في الجامعة .
  "
179313,"
   مسآآحةة🌸🌸
  ","

   أتراه يذكرني لو سهوا...ويبتسم♡
  
"
179314,"
   اليـوم كنـت ناآويه'ه اططلع معع ##خططيبي 💍😌
لاآنو نفسسيتي تععباآنه'ه ومـلل☺
بـس بععديين تذگـرت اآأنو مو خاآططبه'ه 😓😂
#يخســـارهه😂😂😁😁😁😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
لهيك لايكاتكم 😢😢
  ","
  😒😒😒
  "
179315,"
   LIKE=tbh
  ","

   اوك ل اللي بعرفهم بس ✌
  
"
179316,"
   Like = ow ?????
  ","

   هئ
  
"
179317,"
   تابعتك 🌹
  ","

   بادلتك😁🌸
  
"
179318,"
   إضحگ بسبب أو بدون سبب ،، لأن قلةة الأدب 
الحقيقيةة أن تگون حزين بسبب هذآ العآلم القذر !💜
  ","
  👌👌👌✌
  "
179319,"
   انطلق نحو القمر فحتى لو أخطأته فسوف تهبط بين النجوم ''
صباح الخير ..
  ","

   يسعد مساك🌸
  
"
179320,"
   الشمس تطلع بالنهار 🌞
• وانأّ اطلع بالليل😍🙈☺️
فمن ااآاآانا😂😂😂😂
  ","

   وطواط
   
   او صرصور الليل 👋
   
   🌚🌚
  
"
179321,"
   شعبية ونهي ❤️
  ","

   هلا هلا ✋✌
  
"
179322,"
   ماهو اسلوبك فى مواجهة المشاكل والمصاعب؟
  ","

   بستجمع كل قوتي
   
   وبتصرف حسب الموقف
   
   ما بستنى حد يسندني
  
"
179323,"
   في منتصف الليل قلوب تشتاق، عيون تبكي
وانا لا ذمة ولا ضمير رايح جاي ع الثلاجة 😂
  ","
  💔💔😼
  "
179324,"
   أنثروا البهجة في الطرقَات ؛*
لعلكم تحيون قَلباً .. ماتت فيه الأمنيات~••🌸
  ","
  💚💚💚
  "
179325,"
   الي بينگ وبينو خبز ملح ..
بگرا بيجي حدا بطعميه مشاوي .. و #بنساگ😔
  ","

   الشاورما مفعولها اقوى👌
  
"
179326,"
   أريد أن اعرف كيف يستطيع هذا العالم ان يرتاح داخل الانسان, أريد ان أعرف كيف يستطيع الانسان أن يقدم توسله المخجل صوب نفسه في جوف هذا العالم
  ","

   ها؟؟ اكزبلين !
  
"
179327,"
   مسيناكم مسونا يسعد مساكم 😊😊😊
  ","

   مسا الورد🌸
  
"
